countrycode,coveragetype,year,datatype,comparability
AGO,3,2000,1,0
AGO,3,2008,1,1
ALB,3,1996,1,0
ALB,3,2002,1,1
ALB,3,2005,1,1
ALB,3,2008,1,1
ALB,3,2012,1,1
ARG,2,1980,2,0
ARG,2,1986,2,0
ARG,2,1987,2,0
ARG,2,1991,2,1
ARG,2,1992,2,1
ARG,2,1993,2,1
ARG,2,1994,2,1
ARG,2,1995,2,1
ARG,2,1996,2,1
ARG,2,1997,2,1
ARG,2,1998,2,1
ARG,2,1999,2,1
ARG,2,2000,2,1
ARG,2,2001,2,1
ARG,2,2002,2,1
ARG,2,2003,2,2
ARG,2,2004,2,2
ARG,2,2005,2,2
ARG,2,2006,2,2
ARG,2,2007,2,2
ARG,2,2008,2,2
ARG,2,2009,2,2
ARG,2,2010,2,2
ARG,2,2011,2,2
ARG,2,2012,2,2
ARG,2,2013,2,2
ARG,2,2014,2,2
ARG,2,2016,2,2
ARG,2,2017,2,2
ARM,3,1996,2,0
ARM,3,1999,1,1
ARM,3,2001,1,1
ARM,3,2002,1,1
ARM,3,2003,1,1
ARM,3,2004,1,1
ARM,3,2005,1,1
ARM,3,2006,1,1
ARM,3,2007,1,1
ARM,3,2008,1,1
ARM,3,2009,1,1
ARM,3,2010,1,1
ARM,3,2011,1,1
ARM,3,2012,1,1
ARM,3,2013,1,1
ARM,3,2014,1,1
ARM,3,2015,1,1
ARM,3,2016,1,1
ARM,3,2017,1,1
AUS,3,1981,2,0
AUS,3,1985,2,0
AUS,3,1989,2,0
AUS,3,1995,2,0
AUS,3,2001,2,0
AUS,3,2003,2,0
AUS,3,2004,2,0
AUS,3,2008,2,0
AUS,3,2010,2,0
AUS,3,2014,2,0
AUT,3,2003,2,0
AUT,3,2004,2,0
AUT,3,2005,2,0
AUT,3,2006,2,0
AUT,3,2007,2,0
AUT,3,2008,2,0
AUT,3,2009,2,0
AUT,3,2010,2,0
AUT,3,2011,2,0
AUT,3,2012,2,0
AUT,3,2013,2,0
AUT,3,2014,2,0
AUT,3,2015,2,0
AZE,3,1995,1,0
AZE,3,2001,1,1
AZE,3,2002,1,1
AZE,3,2003,1,1
AZE,3,2004,1,1
AZE,3,2005,1,1
BDI,3,1992,1,0
BDI,3,1998,1,1
BDI,3,2006,1,1
BDI,3,2013,1,1
BEL,3,2003,2,0
BEL,3,2004,2,0
BEL,3,2005,2,0
BEL,3,2006,2,0
BEL,3,2007,2,0
BEL,3,2008,2,0
BEL,3,2009,2,0
BEL,3,2010,2,0
BEL,3,2011,2,0
BEL,3,2012,2,0
BEL,3,2013,2,0
BEL,3,2014,2,0
BEL,3,2015,2,0
BEN,3,2003,1,0
BEN,3,2011,1,1
BEN,3,2015,1,1
BFA,3,1994,1,0
BFA,3,1998,1,1
BFA,3,2003,1,1
BFA,3,2009,1,2
BFA,3,2014,1,3
BGD,3,1983,1,0
BGD,3,1985,1,0
BGD,3,1988,1,0
BGD,3,1991,1,1
BGD,3,1995,1,1
BGD,3,2000,1,2
BGD,3,2005,1,2
BGD,3,2010,1,2
BGD,3,2016,1,2
BGR,3,1989,1,0
BGR,3,1992,2,1
BGR,3,1994,1,0
BGR,3,1995,1,3
BGR,3,1997,1,2
BGR,3,2001,1,3
BGR,3,2003,1,4
BGR,3,2006,2,5
BGR,3,2007,1,4
BGR,3,2007,2,5
BGR,3,2008,2,5
BGR,3,2009,2,5
BGR,3,2010,2,5
BGR,3,2011,2,5
BGR,3,2012,2,5
BGR,3,2013,2,5
BGR,3,2014,2,5
BIH,3,2001,1,0
BIH,3,2004,1,0
BIH,3,2007,1,1
BIH,3,2011,1,1
BLR,3,1993,2,0
BLR,3,1995,2,0
BLR,3,1998,1,1
BLR,3,1999,1,1
BLR,3,2000,1,1
BLR,3,2001,1,1
BLR,3,2002,1,1
BLR,3,2003,1,1
BLR,3,2004,1,1
BLR,3,2005,1,1
BLR,3,2006,1,1
BLR,3,2007,1,1
BLR,3,2008,1,1
BLR,3,2009,1,1
BLR,3,2010,1,1
BLR,3,2011,1,1
BLR,3,2012,1,1
BLR,3,2013,1,1
BLR,3,2014,1,1
BLR,3,2015,1,1
BLR,3,2016,1,1
BLR,3,2017,1,1
BLZ,3,1993,2,0
BLZ,3,1994,2,0
BLZ,3,1995,1,1
BLZ,3,1996,2,2
BLZ,3,1997,2,0
BLZ,3,1998,2,0
BLZ,3,1999,2,0
BOL,3,1990,2,0
BOL,2,1992,2,0
BOL,3,1997,2,1
BOL,3,1999,2,2
BOL,3,2000,2,2
BOL,3,2001,2,3
BOL,3,2002,2,4
BOL,3,2004,2,4
BOL,3,2005,2,4
BOL,3,2006,2,4
BOL,3,2007,2,4
BOL,3,2008,2,4
BOL,3,2009,2,4
BOL,3,2011,2,4
BOL,3,2012,2,4
BOL,3,2013,2,4
BOL,3,2014,2,4
BOL,3,2015,2,4
BOL,3,2016,2,4
BOL,3,2017,2,4
BRA,3,1981,2,0
BRA,3,1982,2,0
BRA,3,1983,2,0
BRA,3,1984,2,0
BRA,3,1985,2,0
BRA,3,1986,2,0
BRA,3,1987,2,0
BRA,3,1988,2,0
BRA,3,1989,2,0
BRA,3,1990,2,0
BRA,3,1992,2,0
BRA,3,1993,2,0
BRA,3,1995,2,0
BRA,3,1996,2,0
BRA,3,1997,2,0
BRA,3,1998,2,0
BRA,3,1999,2,0
BRA,3,2001,2,0
BRA,3,2002,2,0
BRA,3,2003,2,0
BRA,3,2004,2,0
BRA,3,2005,2,0
BRA,3,2006,2,0
BRA,3,2007,2,0
BRA,3,2008,2,0
BRA,3,2009,2,0
BRA,3,2011,2,0
BRA,3,2012,2,0
BRA,3,2013,2,0
BRA,3,2014,2,0
BRA,3,2015,2,0
BRA,3,2016,2,1
