countrycode,coveragetype,year,datatype,comparability
BRA,3,2017,2,1
BTN,3,2003,1,0
BTN,3,2007,1,1
BTN,3,2012,1,1
BTN,3,2017,1,1
BWA,3,1985,1,0
BWA,3,1993,1,0
BWA,3,2002,1,1
BWA,3,2009,1,1
BWA,3,2015,1,1
CAF,3,1992,1,0
CAF,3,2003,1,1
CAF,3,2008,1,2
CAN,3,1981,2,0
CAN,3,1987,2,0
CAN,3,1991,2,0
CAN,3,1994,2,0
CAN,3,1997,2,0
CAN,3,1998,2,1
CAN,3,2000,2,1
CAN,3,2004,2,1
CAN,3,2007,2,1
CAN,3,2010,2,1
CAN,3,2013,2,1
CHE,3,2006,2,0
CHE,3,2007,2,0
CHE,3,2008,2,0
CHE,3,2009,2,0
CHE,3,2010,2,0
CHE,3,2011,2,0
CHE,3,2012,2,0
CHE,3,2013,2,0
CHE,3,2014,2,0
CHE,3,2015,2,0
CHL,3,1987,2,0
CHL,3,1990,2,0
CHL,3,1992,2,0
CHL,3,1994,2,0
CHL,3,1996,2,0
CHL,3,1998,2,0
CHL,3,2000,2,0
CHL,3,2003,2,0
CHL,3,2006,2,0
CHL,3,2009,2,0
CHL,3,2011,2,0
CHL,3,2013,2,0
CHL,3,2015,2,0
CHL,3,2017,2,0
CHN,1,1981,2,0
CHN,2,1981,2,0
CHN,4,1981,2,0
CHN,1,1984,2,0
CHN,2,1984,2,0
CHN,4,1984,2,0
CHN,1,1987,2,0
CHN,2,1987,2,0
CHN,4,1987,2,0
CHN,1,1990,1,1
CHN,2,1990,1,1
CHN,4,1990,1,1
CHN,1,1993,1,1
CHN,2,1993,1,1
CHN,4,1993,1,1
CHN,1,1996,1,1
CHN,2,1996,1,1
CHN,4,1996,1,1
CHN,1,1999,1,1
CHN,2,1999,1,1
CHN,4,1999,1,1
CHN,1,2002,1,1
CHN,2,2002,1,1
CHN,4,2002,1,1
CHN,1,2005,1,1
CHN,2,2005,1,1
CHN,4,2005,1,1
CHN,1,2008,1,1
CHN,2,2008,1,1
CHN,4,2008,1,1
CHN,1,2010,1,1
CHN,2,2010,1,1
CHN,4,2010,1,1
CHN,1,2011,1,1
CHN,2,2011,1,1
CHN,4,2011,1,1
CHN,1,2012,1,1
CHN,2,2012,1,1
CHN,4,2012,1,1
CHN,1,2013,1,2
CHN,2,2013,1,2
CHN,4,2013,1,2
CHN,1,2014,1,2
CHN,2,2014,1,2
CHN,4,2014,1,2
CHN,1,2015,1,2
CHN,2,2015,1,2
CHN,4,2015,1,2
CIV,3,1985,1,0
CIV,3,1986,1,0
CIV,3,1987,1,0
CIV,3,1988,1,0
CIV,3,1992,1,1
CIV,3,1995,1,1
CIV,3,1998,1,1
CIV,3,2002,1,2
CIV,3,2008,1,2
CIV,3,2015,1,2
CMR,3,1996,1,0
CMR,3,2001,1,1
CMR,3,2007,1,1
CMR,3,2014,1,1
COD,3,2004,1,0
COD,3,2012,1,0
COG,3,2005,1,0
COG,3,2011,1,0
COL,2,1980,2,0
COL,2,1988,2,1
COL,2,1989,2,1
COL,2,1991,2,1
COL,3,1992,2,1
COL,3,1996,2,1
COL,3,1999,2,1
COL,3,2000,2,1
COL,3,2001,2,2
COL,3,2002,2,2
COL,3,2003,2,2
COL,3,2004,2,2
COL,3,2005,2,2
COL,3,2008,2,3
COL,3,2009,2,3
COL,3,2010,2,3
COL,3,2011,2,3
COL,3,2012,2,3
COL,3,2013,2,3
COL,3,2014,2,3
COL,3,2015,2,3
COL,3,2016,2,3
COL,3,2017,2,3
COM,3,2004,1,0
COM,3,2013,1,1
CPV,3,2001,1,0
CPV,3,2007,1,1
CRI,3,1981,2,0
CRI,3,1986,2,0
CRI,3,1989,2,1
CRI,3,1990,2,1
CRI,3,1991,2,1
CRI,3,1992,2,1
CRI,3,1993,2,1
CRI,3,1994,2,1
CRI,3,1995,2,1
CRI,3,1996,2,1
CRI,3,1997,2,1
CRI,3,1998,2,1
CRI,3,1999,2,1
CRI,3,2000,2,1
CRI,3,2001,2,1
CRI,3,2002,2,1
CRI,3,2003,2,1
CRI,3,2004,2,1
CRI,3,2005,2,1
CRI,3,2006,2,1
CRI,3,2007,2,1
CRI,3,2008,2,1
CRI,3,2009,2,1
CRI,3,2010,2,2
CRI,3,2011,2,2
CRI,3,2012,2,2
CRI,3,2013,2,2
CRI,3,2014,2,2
CRI,3,2015,2,2
CRI,3,2016,2,2
CRI,3,2017,2,2
CYP,3,2004,2,0
CYP,3,2005,2,0
CYP,3,2006,2,0
CYP,3,2007,2,0
CYP,3,2008,2,0
CYP,3,2009,2,0
CYP,3,2010,2,0
CYP,3,2011,2,0
CYP,3,2012,2,0
CYP,3,2013,2,0
CYP,3,2014,2,0
CYP,3,2015,2,0
CZE,3,1993,2,0
CZE,3,1996,2,0
CZE,3,2004,2,1
CZE,3,2005,2,1
CZE,3,2006,2,1
CZE,3,2007,2,1
CZE,3,2008,2,1
CZE,3,2009,2,1
CZE,3,2010,2,1
CZE,3,2011,2,1
CZE,3,2012,2,1
CZE,3,2013,2,1
CZE,3,2014,2,1
CZE,3,2015,2,1
DEU,3,1991,2,0
DEU,3,1994,2,0
DEU,3,1995,2,0
DEU,3,1998,2,0
DEU,3,2000,2,0
DEU,3,2001,2,0
DEU,3,2002,2,0
DEU,3,2003,2,0
DEU,3,2004,2,0
DEU,3,2005,2,0
DEU,3,2006,2,0
DEU,3,2007,2,0
DEU,3,2008,2,0
DEU,3,2009,2,0
DEU,3,2010,2,0
DEU,3,2011,2,0
DEU,3,2013,2,0
DEU,3,2015,2,0
DJI,3,2002,1,0
DJI,3,2012,1,1
DJI,3,2013,1,2
DJI,3,2017,1,3
DNK,3,2003,2,0
DNK,3,2004,2,0
DNK,3,2005,2,0
DNK,3,2006,2,0
DNK,3,2007,2,0
DNK,3,2008,2,0
DNK,3,2009,2,0
DNK,3,2010,2,0
DNK,3,2011,2,0
DNK,3,2012,2,0
DNK,3,2013,2,0
DNK,3,2014,2,0
DNK,3,2015,2,0
DOM,3,1986,2,0
DOM,3,1989,2,1
DOM,3,1992,2,2
DOM,3,1996,2,3
DOM,3,1997,2,3
DOM,3,2000,2,3
DOM,3,2001,2,4
DOM,3,2002,2,4
DOM,3,2003,2,4
DOM,3,2004,2,4
DOM,3,2005,2,5
DOM,3,2006,2,5
DOM,3,2007,2,5
DOM,3,2008,2,5
DOM,3,2009,2,5
DOM,3,2010,2,5
DOM,3,2011,2,5
DOM,3,2012,2,5
DOM,3,2013,2,5
DOM,3,2014,2,5
DOM,3,2015,2,5
DOM,3,2016,2,5
DZA,3,1988,1,0
DZA,3,1995,1,1
DZA,3,2011,1,2
ECU,3,1987,2,0
ECU,3,1994,2,1
ECU,2,1995,2,2
ECU,3,1998,2,3
ECU,3,1999,2,3
ECU,3,2000,2,4
ECU,3,2003,2,4
ECU,3,2004,2,4
ECU,3,2005,2,4
ECU,3,2006,2,4
ECU,3,2007,2,5
ECU,3,2008,2,5
ECU,3,2009,2,5
ECU,3,2010,2,5
ECU,3,2011,2,5
ECU,3,2012,2,5
ECU,3,2013,2,5
ECU,3,2014,2,5
ECU,3,2015,2,5
ECU,3,2016,2,5
ECU,3,2017,2,5
EGY,3,1990,1,0
EGY,3,1995,1,0
EGY,3,1999,1,1
EGY,3,2004,1,2
EGY,3,2008,1,2
EGY,3,2010,1,3
EGY,3,2012,1,3
EGY,3,2015,1,3
ESP,3,2003,2,0
ESP,3,2004,2,0
ESP,3,2005,2,0
ESP,3,2006,2,0
ESP,3,2007,2,0
ESP,3,2008,2,0
ESP,3,2009,2,0
ESP,3,2010,2,0
ESP,3,2011,2,0
ESP,3,2012,2,0
ESP,3,2013,2,0
ESP,3,2014,2,0
ESP,3,2015,2,0
EST,3,1993,2,0
EST,3,1995,1,1
EST,3,1998,1,1
EST,3,2000,1,2
EST,3,2001,1,2
EST,3,2002,1,2
EST,3,2003,1,2
EST,3,2003,2,3
EST,3,2004,1,2
EST,3,2004,2,3
EST,3,2005,2,3
EST,3,2006,2,3
EST,3,2007,2,3
EST,3,2008,2,3
EST,3,2009,2,3
EST,3,2010,2,3
EST,3,2011,2,3
EST,3,2012,2,3
EST,3,2013,2,3
EST,3,2014,2,3
EST,3,2015,2,3
ETH,1,1981,1,0
ETH,3,1995,1,1
ETH,3,1999,1,1
ETH,3,2004,1,1
ETH,3,2010,1,1
ETH,3,2015,1,1
FIN,3,2003,2,0
FIN,3,2004,2,0
FIN,3,2005,2,0
FIN,3,2006,2,0
FIN,3,2007,2,0
FIN,3,2008,2,0
FIN,3,2009,2,0
FIN,3,2010,2,0
FIN,3,2011,2,0
FIN,3,2012,2,0
FIN,3,2013,2,0
FIN,3,2014,2,0
FIN,3,2015,2,0
FJI,3,2002,1,0
FJI,3,2008,1,0
FJI,3,2013,1,0
FRA,3,2003,2,0
FRA,3,2004,2,0
FRA,3,2005,2,0
FRA,3,2006,2,0
FRA,3,2007,2,0
FRA,3,2008,2,0
FRA,3,2009,2,0
FRA,3,2010,2,0
FRA,3,2011,2,0
FRA,3,2012,2,0
FRA,3,2013,2,0
FRA,3,2014,2,0
FRA,3,2015,2,0
FSM,2,2000,2,0
FSM,3,2005,1,1
FSM,3,2013,1,2
GAB,3,2005,1,0
GAB,3,2017,1,1
GBR,3,2004,2,0
GBR,3,2005,2,0
GBR,3,2006,2,0
GBR,3,2007,2,0
GBR,3,2008,2,0
GBR,3,2009,2,0
GBR,3,2010,2,0
GBR,3,2011,2,0
GBR,3,2012,2,0
GBR,3,2013,2,0
GBR,3,2014,2,0
GBR,3,2015,2,0
GEO,3,1996,1,0
GEO,3,1997,1,1
GEO,3,1998,1,2
GEO,3,1999,1,2
GEO,3,2000,1,2
GEO,3,2001,1,2
GEO,3,2002,1,2
GEO,3,2003,1,2
GEO,3,2004,1,2
GEO,3,2005,1,2
GEO,3,2006,1,2
GEO,3,2007,1,2
GEO,3,2008,1,2
GEO,3,2009,1,2
GEO,3,2010,1,2
GEO,3,2011,1,2
GEO,3,2012,1,2
GEO,3,2013,1,2
GEO,3,2014,1,2
GEO,3,2015,1,2
GEO,3,2016,1,2
GEO,3,2017,1,2
GHA,3,1987,1,0
GHA,3,1988,1,0
GHA,3,1991,1,1
GHA,3,1998,1,1
GHA,3,2005,1,1
GHA,3,2012,1,1
GHA,3,2016,1,1
GIN,3,1991,1,0
GIN,3,1994,1,1
GIN,3,2002,1,2
GIN,3,2007,1,3
GIN,3,2012,1,3
GMB,3,1998,1,0
GMB,3,2003,1,1
GMB,3,2010,1,2
GMB,3,2015,1,2
GNB,3,1991,1,0
GNB,3,1993,1,1
GNB,3,2002,1,2
GNB,3,2010,1,3
GRC,3,2003,2,0
GRC,3,2004,2,0
GRC,3,2005,2,0
GRC,3,2006,2,0
GRC,3,2007,2,0
GRC,3,2008,2,0
GRC,3,2009,2,0
GRC,3,2010,2,0
GRC,3,2011,2,0
GRC,3,2012,2,0
GRC,3,2013,2,0
GRC,3,2014,2,0
GRC,3,2015,2,0
GTM,3,1986,2,0
GTM,3,1989,2,0
GTM,3,1998,2,1
GTM,3,2000,2,2
GTM,3,2006,2,2
GTM,3,2014,2,2
GUY,3,1992,2,0
GUY,3,1998,2,0
HND,2,1986,2,0
HND,3,1989,2,1
HND,3,1990,2,2
HND,3,1991,2,3
HND,3,1992,2,3
HND,3,1993,2,3
HND,3,1994,2,3
HND,3,1995,2,3
HND,3,1996,2,3
HND,3,1997,2,3
HND,3,1998,2,3
HND,3,1999,2,3
HND,3,2001,2,4
HND,3,2002,2,4
HND,3,2003,2,4
HND,3,2004,2,4
HND,3,2005,2,4
HND,3,2006,2,4
HND,3,2007,2,4
HND,3,2008,2,4
HND,3,2009,2,4
HND,3,2010,2,4
HND,3,2011,2,4
HND,3,2012,2,4
HND,3,2013,2,4
HND,3,2014,2,4
HND,3,2015,2,4
HND,3,2016,2,4
HND,3,2017,2,4
HRV,3,1988,2,0
HRV,3,1998,1,1
HRV,3,1999,1,2
HRV,3,2000,1,2
HRV,3,2001,1,2
HRV,3,2004,1,1
HRV,3,2008,1,1
HRV,3,2009,1,1
HRV,3,2009,2,3
HRV,3,2010,1,1
HRV,3,2010,2,3
HRV,3,2011,2,3
HRV,3,2012,2,3
HRV,3,2013,2,3
HRV,3,2014,2,3
HRV,3,2015,2,3
HTI,3,2001,2,0
HTI,3,2012,1,1
HTI,3,2012,2,1
HUN,3,1987,2,0
HUN,3,1989,2,0
HUN,3,1993,2,0
HUN,3,1998,1,1
HUN,3,1999,1,1
HUN,3,2000,1,1
HUN,3,2001,1,1
HUN,3,2002,1,1
HUN,3,2003,1,1
HUN,3,2004,1,1
HUN,3,2004,2,2
HUN,3,2005,1,1
HUN,3,2005,2,2
HUN,3,2006,1,1
HUN,3,2006,2,2
HUN,3,2007,1,1
HUN,3,2007,2,2
HUN,3,2008,2,2
HUN,3,2009,2,2
HUN,3,2010,2,2
HUN,3,2011,2,2
HUN,3,2012,2,2
HUN,3,2013,2,2
HUN,3,2014,2,2
HUN,3,2015,2,2
IDN,1,1984,1,0
IDN,2,1984,1,0
IDN,4,1984,1,0
IDN,1,1987,1,0
IDN,2,1987,1,0
IDN,4,1987,1,0
IDN,1,1990,1,0
IDN,2,1990,1,0
IDN,4,1990,1,0
IDN,1,1993,1,1
IDN,2,1993,1,1
IDN,4,1993,1,1
IDN,1,1996,1,1
IDN,2,1996,1,1
IDN,4,1996,1,1
IDN,1,1998,1,1
IDN,2,1998,1,1
IDN,4,1998,1,1
IDN,1,1999,1,1
IDN,2,1999,1,1
IDN,4,1999,1,1
IDN,1,2000,1,2
IDN,2,2000,1,2
IDN,4,2000,1,2
IDN,1,2001,1,2
IDN,2,2001,1,2
IDN,4,2001,1,2
IDN,1,2002,1,2
IDN,2,2002,1,2
IDN,4,2002,1,2
IDN,1,2003,1,2
IDN,2,2003,1,2
IDN,4,2003,1,2
IDN,1,2004,1,2
IDN,2,2004,1,2
IDN,4,2004,1,2
IDN,1,2005,1,3
IDN,2,2005,1,3
IDN,4,2005,1,3
IDN,1,2006,1,3
IDN,2,2006,1,3
IDN,4,2006,1,3
IDN,1,2007,1,3
IDN,2,2007,1,3
IDN,4,2007,1,3
IDN,1,2008,1,3
IDN,2,2008,1,3
IDN,4,2008,1,3
IDN,1,2009,1,3
IDN,2,2009,1,3
IDN,4,2009,1,3
IDN,1,2010,1,3
IDN,2,2010,1,3
IDN,4,2010,1,3
IDN,1,2011,1,4
IDN,2,2011,1,4
IDN,4,2011,1,4
IDN,1,2012,1,4
IDN,2,2012,1,4
IDN,4,2012,1,4
IDN,1,2013,1,4
IDN,2,2013,1,4
IDN,4,2013,1,4
IDN,1,2014,1,4
IDN,2,2014,1,4
IDN,4,2014,1,4
IDN,1,2015,1,5
IDN,2,2015,1,5
IDN,4,2015,1,5
IDN,1,2016,1,5
IDN,2,2016,1,5
IDN,4,2016,1,5
IDN,1,2017,1,5
IDN,2,2017,1,5
IDN,4,2017,1,5
IND,1,1977,1,
IND,2,1977,1,
IND,4,1977,1,
IND,1,1983,1,0
IND,2,1983,1,0
IND,4,1983,1,0
IND,1,1987,1,1
IND,2,1987,1,1
IND,4,1987,1,1
IND,1,1993,1,2
IND,2,1993,1,2
IND,4,1993,1,2
IND,1,2004,1,2
IND,2,2004,1,2
IND,4,2004,1,2
IND,1,2009,1,2
IND,2,2009,1,2
IND,4,2009,1,2
IND,1,2011,1,2
IND,2,2011,1,2
IND,4,2011,1,2
IRL,3,2003,2,0
IRL,3,2004,2,0
IRL,3,2005,2,0
IRL,3,2006,2,0
IRL,3,2007,2,0
IRL,3,2008,2,0
IRL,3,2009,2,0
IRL,3,2010,2,0
IRL,3,2011,2,0
IRL,3,2012,2,0
IRL,3,2013,2,0
IRL,3,2014,2,0
IRL,3,2015,2,0
IRN,3,1986,1,0
IRN,3,1990,1,0
IRN,3,1994,1,0
IRN,3,1998,1,0
IRN,3,2005,1,1
IRN,3,2006,1,1
IRN,3,2009,1,1
IRN,3,2013,1,1
IRN,3,2014,1,1
IRN,3,2015,1,1
IRN,3,2016,1,1
IRQ,3,2006,1,0
IRQ,3,2012,1,0
ISL,3,2003,2,0
ISL,3,2004,2,0
ISL,3,2005,2,0
ISL,3,2006,2,0
ISL,3,2007,2,0
ISL,3,2008,2,0
ISL,3,2009,2,0
ISL,3,2010,2,0
ISL,3,2011,2,0
ISL,3,2012,2,0
ISL,3,2013,2,0
ISL,3,2014,2,0
ISR,3,1979,2,0
ISR,3,1986,2,0
ISR,3,1992,2,0
ISR,3,1997,2,0
ISR,3,2001,2,0
ISR,3,2005,2,0
ISR,3,2007,2,0
ISR,3,2010,2,0
ISR,3,2012,2,0
ISR,3,2014,2,0
ISR,3,2016,2,0
ITA,3,2003,2,0
ITA,3,2004,2,0
ITA,3,2005,2,0
ITA,3,2006,2,0
ITA,3,2007,2,0
ITA,3,2008,2,0
ITA,3,2009,2,0
ITA,3,2010,2,0
ITA,3,2011,2,0
ITA,3,2012,2,0
ITA,3,2013,2,0
ITA,3,2014,2,0
ITA,3,2015,2,0
JAM,3,1988,1,0
JAM,3,1990,1,1
JAM,3,1993,1,0
JAM,3,1996,1,1
JAM,3,1999,1,1
JAM,3,2002,1,1
JAM,3,2004,1,1
JOR,3,1986,1,0
JOR,3,1992,1,0
JOR,3,1997,1,0
JOR,3,2002,1,1
JOR,3,2006,1,2
JOR,3,2008,1,3
JOR,3,2010,1,3
JPN,3,2008,2,0
KAZ,3,1993,2,0
KAZ,3,1996,1,1
KAZ,3,2001,1,2
KAZ,3,2002,1,2
KAZ,3,2003,1,2
KAZ,3,2004,1,2
KAZ,3,2005,1,3
KAZ,3,2006,1,3
KAZ,3,2007,1,3
KAZ,3,2008,1,3
KAZ,3,2009,1,3
KAZ,3,2010,1,3
KAZ,3,2011,1,3
KAZ,3,2012,1,3
KAZ,3,2013,1,3
KAZ,3,2014,1,3
KAZ,3,2015,1,3
KAZ,3,2016,1,3
KAZ,3,2017,1,3
KEN,3,1992,1,0
KEN,3,1994,1,1
KEN,3,1997,1,2
KEN,3,2005,1,3
KEN,3,2015,1,3
KGZ,3,1998,1,1
KGZ,3,2000,1,1
KGZ,3,2001,1,1
KGZ,3,2002,1,1
KGZ,3,2003,1,1
KGZ,3,2004,1,2
KGZ,3,2005,1,2
KGZ,3,2006,1,2
KGZ,3,2007,1,2
KGZ,3,2008,1,2
KGZ,3,2009,1,2
KGZ,3,2010,1,2
KGZ,3,2011,1,2
KGZ,3,2012,1,2
KGZ,3,2013,1,2
KGZ,3,2014,1,2
KGZ,3,2015,1,2
KGZ,3,2016,1,2
KGZ,3,2017,1,2
KIR,3,2006,1,0
KOR,3,2006,2,0
KOR,3,2008,2,0
KOR,3,2010,2,0
KOR,3,2012,2,0
LAO,3,1992,1,0
LAO,3,1997,1,0
LAO,3,2002,1,0
LAO,3,2007,1,0
LAO,3,2012,1,0
LBN,3,2011,1,0
LBR,3,2007,1,0
LBR,3,2014,1,1
LBR,3,2016,1,1
LCA,3,1995,2,0
LCA,3,2016,2,1
LKA,3,1985,1,0
LKA,3,1990,1,1
LKA,3,1995,1,2
LKA,3,2002,1,3
LKA,3,2006,1,3
LKA,3,2009,1,3
LKA,3,2012,1,3
LKA,3,2016,1,3
LSO,3,1986,1,0
LSO,3,1994,1,1
LSO,3,2002,1,2
LSO,3,2010,1,3
LTU,3,1993,2,0
LTU,3,1996,1,1
LTU,3,1998,1,2
LTU,3,1999,1,2
LTU,3,2000,1,2
LTU,3,2001,1,2
LTU,3,2002,1,2
LTU,3,2003,1,2
LTU,3,2004,1,2
LTU,3,2004,2,3
LTU,3,2005,2,3
LTU,3,2006,2,3
LTU,3,2007,2,3
LTU,3,2008,1,2
LTU,3,2008,2,3
LTU,3,2009,2,3
LTU,3,2010,2,3
LTU,3,2011,2,3
LTU,3,2012,2,3
LTU,3,2013,2,3
LTU,3,2014,2,3
LTU,3,2015,2,3
LUX,3,2003,2,0
LUX,3,2004,2,0
LUX,3,2005,2,0
LUX,3,2006,2,0
LUX,3,2007,2,0
LUX,3,2008,2,0
LUX,3,2009,2,0
LUX,3,2010,2,0
LUX,3,2011,2,0
LUX,3,2012,2,0
LUX,3,2013,2,0
LUX,3,2014,2,0
LUX,3,2015,2,0
LVA,3,1993,2,0
LVA,3,1995,2,0
LVA,3,1996,2,0
LVA,3,1997,1,1
LVA,3,1998,1,1
LVA,3,2002,1,1
LVA,3,2003,1,1
LVA,3,2004,1,1
LVA,3,2004,2,2
LVA,3,2005,2,2
LVA,3,2006,2,2
LVA,3,2007,1,1
LVA,3,2007,2,2
LVA,3,2008,1,1
LVA,3,2008,2,2
LVA,3,2009,1,1
LVA,3,2009,2,2
LVA,3,2010,2,2
LVA,3,2011,2,2
LVA,3,2012,2,2
LVA,3,2013,2,2
LVA,3,2014,2,2
LVA,3,2015,2,2
MAR,3,1984,1,0
MAR,3,1990,1,0
MAR,3,1998,1,0
MAR,3,2000,1,1
MAR,3,2006,1,1
MAR,3,2013,1,1
MDA,3,1997,1,0
MDA,3,1998,1,0
MDA,3,1999,1,0
MDA,3,2000,1,0
MDA,3,2001,1,0
MDA,3,2002,1,0
MDA,3,2003,1,0
MDA,3,2004,1,0
MDA,3,2005,1,1
MDA,3,2006,1,2
MDA,3,2007,1,2
MDA,3,2008,1,2
MDA,3,2009,1,2
MDA,3,2010,1,2
MDA,3,2011,1,2
MDA,3,2012,1,2
MDA,3,2013,1,2
MDA,3,2014,1,2
MDA,3,2015,1,2
MDA,3,2016,1,2
MDA,3,2017,1,2
MDG,3,1980,1,0
MDG,3,1993,1,1
MDG,3,1997,1,2
MDG,3,1999,1,2
MDG,3,2001,1,3
MDG,3,2005,1,3
MDG,3,2010,1,3
MDG,3,2012,1,3
MDV,3,2002,1,0
MDV,3,2009,1,1
MEX,3,1984,1,0
MEX,3,1989,2,0
MEX,3,1992,1,
MEX,3,1992,2,0
MEX,3,1994,1,
MEX,3,1994,2,0
MEX,3,1996,1,
MEX,3,1996,2,0
MEX,3,1998,1,
MEX,3,1998,2,0
